Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"TVS Scooty Pep+ 100 20193,600 kmMEMBERColombo, MotorbikesRs 315,00030 days",https://ikman.lk/en/ad/tvs-scooty-pep-100-2019-for-sale-colombo,TVS Scooty Pep+ 100 2019,"Posted on 12 Feb 1:24 pm, Boralesgamuwa, Colombo",Scooters,TVS,100,Scooty Pep+,2019,"3,600 km",Ranul Motors,100 cc,"315,000"
"TVS Scooty Pep+ 112000 201813,870 kmGalle, MotorbikesRs 295,00031 days",https://ikman.lk/en/ad/tvs-scooty-pep-ikmnin-vikiniimtt-2018-for-sale-galle,TVS Scooty Pep+ 112000 2018,"Posted on 10 Feb 9:19 pm, Karapitiya, Galle",Scooters,TVS,112000,Scooty Pep+,2018,"13,870 km",lasantha,90 cc,"295,000"
"TVS Scooty Pep+ 2006120,000 kmPolonnaruwa, MotorbikesRs 110,00037 days",https://ikman.lk/en/ad/tvs-scooty-pep-pep-2006-for-sale-polonnaruwa,TVS Scooty Pep+ 2006,"Posted on 11 Feb 6:54 pm, Hingurakgoda, Polonnaruwa",Scooters,TVS,scooty,Scooty Pep+,2006,"120,000 km",Sithum Sithum,100 cc,"110,000"
"TVS Scooty Pep+ 200865,000 kmKalutara, MotorbikesRs 133,00043 days",https://ikman.lk/en/ad/tvs-scooty-pep-2008-for-sale-kalutara-84,TVS Scooty Pep+ 2008,"Posted on 07 Feb 7:24 am, Panadura, Kalutara",Scooters,TVS,TVS,Scooty Pep+,2008,"65,000 km",b p i mendis,90 cc,"133,000"
"TVS Scooty Pep+ 201025,000 kmKegalle, MotorbikesRs 237,90051 days",https://ikman.lk/en/ad/tvs-scooty-pep-2010-for-sale-kegalle-7,TVS Scooty Pep+ 2010,"Posted on 21 Jan 5:20 pm, Ruwanwella, Kegalle",Scooters,TVS,Scooty Pep+,Scooty Pep+,2010,"25,000 km",thusitha nikapitiya,90 cc,"237,900"
"TVS Scooty Pep+ 2011 201038,078 kmVavuniya, MotorbikesRs 138,00037 days",https://ikman.lk/en/ad/tvs-scooty-pep-2011-2010-for-sale-vavuniya-2,TVS Scooty Pep+ 2011 2010,"Posted on 21 Feb 2:48 am, Vavuniya City, Vavuniya",Scooters,TVS,2011,Scooty Pep+,2010,"38,078 km",Thanu,90 cc,"138,000"
"TVS Scooty Pep+ 201225,000 kmKalutara, MotorbikesRs 110,00034 days",https://ikman.lk/en/ad/tvs-scooty-pep-2012-for-sale-kalutara-21,TVS Scooty Pep+ 2012,"Posted on 08 Feb 4:04 pm, Wadduwa, Kalutara",Scooters,TVS,,Scooty Pep+,2012,"25,000 km",pinimuthu Dilruwan,100 cc,"110,000"
"TVS Scooty Pep+ 201218,000 kmBadulla, MotorbikesRs 110,00047 days",https://ikman.lk/en/ad/tvs-scooty-pep-2022-for-sale-badulla,TVS Scooty Pep+ 2012,"Posted on 25 Jan 8:59 pm, Haputale, Badulla",Scooters,TVS,,Scooty Pep+,2012,"18,000 km",Chamara Pradeep,90 cc,"110,000"
"TVS Scooty Pep+ 201233,200 kmMEMBERKalutara, MotorbikesRs 145,00050 days",https://ikman.lk/en/ad/tvs-scooty-pep-2012-for-sale-kalutara-20,TVS Scooty Pep+ 2012,"Posted on 09 Feb 8:02 pm, Bandaragama, Kalutara",Scooters,TVS,tvs,Scooty Pep+,2012,"33,200 km",Welegedara Motors,90 cc,"145,000"
"TVS Scooty Pep+ 201316,051 kmKegalle, MotorbikesRs 163,00024 days",https://ikman.lk/en/ad/tvs-scooty-pep-2013-for-sale-kegalle-1,TVS Scooty Pep+ 2013,"Posted on 18 Feb 8:06 pm, Rambukkana, Kegalle",Scooters,TVS,TVS,Scooty Pep+,2013,"16,051 km",Dilshan Rathnayaka,100 cc,"163,000"
"TVS Scooty Pep+ 201338,750 kmJaffna, MotorbikesRs 125,00034 days",https://ikman.lk/en/ad/tvs-scooty-pep-2013-for-sale-jaffna-2,TVS Scooty Pep+ 2013,"Posted on 09 Feb 3:13 pm, Jaffna City, Jaffna",Scooters,TVS,,Scooty Pep+,2013,"38,750 km",Filed Operation,90 cc,"125,000"
"TVS Scooty Pep+ 201625,348 kmKandy, MotorbikesRs 230,00047 days",https://ikman.lk/en/ad/tvs-scooty-pep-2016-for-sale-kandy-21,TVS Scooty Pep+ 2016,"Posted on 22 Feb 4:32 am, Digana, Kandy",Scooters,TVS,,Scooty Pep+,2016,"25,348 km",Pratheesan Theeban,90 cc,"230,000"
"TVS Scooty Pep+ 201723,669 kmRatnapura, MotorbikesRs 420,00028 days",https://ikman.lk/en/ad/tvs-scooty-pep-0716165073-2017-for-sale-ratnapura,TVS Scooty Pep+ 2017,"Posted on 09 Mar 8:41 pm, Embilipitiya, Ratnapura",Scooters,TVS,2017,Scooty Pep+,2017,"23,669 km",Kumara Saman,99 cc,"420,000"
